Ingredient,Quantity,Unit,Additional Information
Parsnips,1,pound,
Olive oil,2,tablespoons,
Grated Parmesan cheese,0.25,cup,
Salt,0.5,teaspoon,
Black pepper,0.25,teaspoon,
